,TOV,L,Opp.,AST,3P,FG,SRS,PF,ORB,FG%,BLK,3P%,STL,school,Rk,W,FGA,G,FT,Tm.,TRB,School,FTA,3PA,W-L%,SOS,FT%,MP
,428,5,2322,371,213,841,7.86,600,313,.455,162,.341,255,Washington,335,4,1848,32,482,2377,1059,Washington,685,624,.625,6.15,.704,1295
,368,4,2195,430,280,846,0.24,551,182,.491,120,.416,161,Weber St.,336,7,1723,31,462,2434,1040,Weber State,602,673,.645,-2.65,.767,1255
,385,5,2346,512,299,944,20.17,725,476,.434,179,.353,273,West Virginia,337,5,2176,34,520,2707,1289,West Virginia NCAA,679,847,.706,9.55,.766,1365
,476,12,2419,427,234,774,-11.68,561,371,.411,92,.333,254,Western Caro.,338,3,1885,32,408,2190,1101,Western Carolina,597,703,.406,-1.41,.683,1280
,350,10,2009,308,188,749,-10.78,432,196,.466,109,.357,136,Western Ill.,339,1,1607,28,326,2012,990,Western Illinois,456,527,.429,-1.99,.715,1135
,402,5,2384,459,185,959,10.03,494,330,.493,124,.355,248,Western Ky.,340,7,1944,34,562,2665,1213,Western Kentucky,792,521,.706,2.43,.710,1365
,342,7,2349,405,233,845,-2.05,559,356,.439,100,.344,209,Western Mich.,341,6,1926,32,479,2402,1130,Western Michigan,659,678,.531,-1.82,.727,1285
,370,2,2283,593,292,930,17.53,562,389,.478,126,.385,150,Wichita St.,342,9,1944,32,504,2656,1291,Wichita State NCAA,683,758,.781,5.87,.738,1290
,382,8,2531,548,337,910,-1.30,530,209,.511,125,.434,174,William & Mary,343,7,1782,31,479,2636,1017,William & Mary,591,777,.613,-1.27,.810,1255
,429,9,2219,455,296,859,-1.58,539,281,.477,144,.375,211,Winthrop,344,7,1801,31,450,2464,1124,Winthrop,623,790,.613,-5.80,.722,1240
,353,8,2177,411,216,793,10.71,543,299,.448,117,.335,180,Wisconsin,345,3,1770,33,404,2206,1010,Wisconsin,578,644,.455,9.83,.699,1325
,404,7,2307,497,342,867,-0.56,568,263,.470,86,.410,216,Wofford,346,7,1843,33,408,2484,1067,Wofford,522,834,.636,-2.22,.782,1320
,446,7,2234,451,233,854,0.74,541,346,.436,75,.342,226,Wright St.,347,8,1959,34,512,2453,1235,Wright State NCAA,714,682,.735,-4.42,.717,1370
,449,7,2597,518,304,873,4.55,654,231,.446,130,.345,215,Wyoming,348,5,1959,33,583,2633,1148,Wyoming,790,881,.606,3.83,.738,1365
,410,2,2458,549,258,953,19.63,558,322,.491,97,.369,193,Xavier,349,9,1942,33,617,2781,1267,Xavier NCAA,781,699,.848,9.84,.790,1335
,407,11,2288,507,252,831,-4.00,541,275,.463,95,.331,204,Yale,350,7,1796,31,398,2312,1052,Yale,551,762,.516,-2.63,.722,1250
,460,13,2647,445,235,902,-13.70,672,457,.427,126,.330,266,Youngstown St.,351,2,2110,32,371,2410,1159,Youngstown State,583,712,.250,-2.60,.636,1290
