,TOV,L,Opp.,AST,3P,FG,SRS,PF,ORB,FG%,BLK,3P%,STL,school,Rk,W,FGA,G,FT,Tm.,TRB,School,FTA,3PA,W-L%,SOS,FT%,MP
,401,12,2371,405,226,778,-10.46,542,290,.437,113,.354,193,Eastern Ky.,85,5,1779,31,448,2230,1023,Eastern Kentucky,600,638,.355,-3.56,.747,1245
,422,8,2205,420,213,874,-0.12,532,331,.467,207,.334,290,Eastern Mich.,86,7,1872,33,403,2364,1143,Eastern Michigan,581,637,.636,-2.50,.694,1335
,391,11,2433,431,305,911,0.78,647,249,.468,103,.381,176,Eastern Wash.,87,6,1947,34,427,2554,1136,Eastern Washington,558,801,.588,-1.47,.765,1370
,373,12,2437,507,337,842,-6.84,494,256,.439,66,.349,140,Elon,88,4,1916,32,325,2346,1140,Elon,457,966,.438,-1.64,.711,1320
,431,10,2045,409,184,730,0.72,568,240,.442,92,.410,190,Evansville,89,2,1652,32,450,2094,1057,Evansville,581,449,.531,1.38,.775,1285
,421,10,2549,487,303,881,-4.69,663,301,.439,95,.339,211,Fairfield,90,3,2009,33,441,2506,1159,Fairfield,621,893,.515,-3.39,.710,1345
,426,13,2350,416,213,842,-10.03,561,339,.451,100,.342,220,Fairleigh Dickinson,91,5,1868,31,416,2313,1067,Fairleigh Dickinson,573,623,.419,-5.27,.726,1240
,471,20,2684,370,217,831,-18.96,612,344,.419,104,.352,194,Florida A&M,92,2,1981,34,464,2343,1094,Florida A&M,641,616,.265,-8.08,.724,1385
,393,10,2172,376,179,790,-5.73,556,357,.410,124,.325,182,Fla. Atlantic,93,4,1928,31,396,2155,1194,Florida Atlantic,537,550,.387,-0.51,.737,1245
,476,5,2435,524,244,1022,2.11,622,361,.497,95,.363,248,FGCU,94,9,2057,34,491,2779,1301,Florida Gulf Coast,662,672,.676,-5.89,.742,1360
,354,9,2278,387,203,815,-4.67,585,321,.426,102,.321,242,FIU,95,3,1913,32,429,2262,1151,Florida International,704,632,.438,-2.36,.609,1310
,403,7,2309,473,248,906,14.97,566,363,.474,160,.351,208,Florida St.,96,4,1912,31,473,2535,1179,Florida State NCAA,691,706,.645,7.68,.685,1260
,315,4,2222,415,292,841,16.81,552,345,.434,151,.375,219,Florida,97,5,1937,32,460,2434,1124,Florida NCAA,640,778,.625,10.19,.719,1295
,386,10,2179,419,227,692,-6.54,491,198,.412,74,.288,283,Fordham,98,1,1680,31,320,1931,884,Fordham,452,787,.290,1.46,.708,1250
,384,5,2201,415,216,885,8.48,626,293,.490,104,.394,217,Fresno St.,99,8,1805,32,473,2459,1082,Fresno State,682,548,.656,2.14,.694,1295
,382,6,2260,526,338,942,4.63,531,316,.470,72,.356,265,Furman,100,7,2006,33,397,2619,1157,Furman,557,950,.697,-3.44,.713,1325
,437,13,2307,415,236,822,-9.62,568,297,.444,92,.349,195,Gardner-Webb,101,3,1850,32,378,2258,1141,Gardner-Webb,526,676,.438,-3.72,.719,1300
,425,7,2497,377,230,841,-2.77,541,329,.432,96,.326,200,George Mason,102,5,1949,33,459,2371,1213,George Mason,619,705,.485,1.05,.742,1345
,419,10,2319,440,180,832,-0.54,486,350,.447,163,.321,189,George Washington,103,1,1861,33,381,2225,1120,George Washington,537,561,.455,2.31,.709,1320
,458,6,2294,522,226,800,7.11,531,325,.454,110,.366,164,Georgetown,104,4,1763,30,524,2350,1151,Georgetown,676,618,.500,5.24,.775,1235
,372,7,2315,333,267,857,-0.26,633,402,.430,120,.341,227,Ga. Southern,105,8,1992,33,523,2504,1247,Georgia Southern,787,784,.636,-3.00,.665,1325
,386,6,2288,452,315,916,3.43,624,298,.463,155,.388,250,Georgia St.,106,9,1980,34,414,2561,1156,Georgia State NCAA,612,812,.706,-3.23,.676,1375
,411,10,2172,409,156,753,5.53,533,334,.425,171,.318,221,Georgia Tech,107,1,1770,32,439,2101,1084,Georgia Tech,616,490,.406,7.75,.713,1285
,420,9,2202,402,201,767,10.69,533,406,.420,156,.318,126,Georgia,108,4,1826,33,512,2247,1301,Georgia,732,632,.545,9.33,.699,1340
,384,1,2282,535,309,1049,19.48,579,376,.503,126,.374,219,Gonzaga,109,10,2085,34,466,2873,1357,Gonzaga NCAA,645,826,.882,2.10,.722,1380
,477,10,2321,342,154,777,-12.83,674,377,.420,113,.328,239,Grambling,110,11,1852,31,547,2257,1193,Grambling,769,470,.548,-10.17,.711,1250
,442,7,2135,522,244,827,4.41,668,393,.428,129,.324,205,Grand Canyon,111,3,1931,33,541,2439,1273,Grand Canyon,770,753,.667,-4.59,.703,1330
,453,13,2499,459,295,859,-8.54,635,334,.424,100,.363,226,Green Bay,112,2,2027,33,504,2517,1241,Green Bay,670,813,.394,-4.11,.752,1330
,440,10,2557,515,194,964,-8.58,676,375,.453,124,.319,186,Hampton,113,5,2130,34,575,2697,1357,Hampton,744,609,.559,-10.00,.773,1370
,402,5,2318,433,270,835,-5.43,601,274,.454,123,.345,200,Hartford,114,9,1840,33,386,2326,1100,Hartford,569,783,.576,-5.15,.678,1325
,423,10,2062,395,250,742,-0.30,555,271,.431,117,.353,162,Harvard,115,6,1722,31,388,2122,1080,Harvard,495,709,.581,-2.00,.784,1265
,402,5,2071,428,202,721,-2.04,584,267,.443,59,.330,169,Hawaii,116,4,1629,30,460,2104,995,Hawaii,670,613,.567,-2.22,.687,1215
,375,11,1993,353,163,775,-6.77,545,322,.459,82,.357,222,High Point,117,3,1690,30,413,2126,1039,High Point,588,456,.467,-6.40,.702,1205
,334,4,2397,413,260,868,-0.46,576,339,.465,83,.375,156,Hofstra,118,9,1868,31,468,2464,1103,Hofstra,686,693,.613,-1.53,.682,1245
,381,10,2099,418,203,724,-9.81,537,178,.462,105,.326,194,Holy Cross,119,6,1568,31,321,1972,880,Holy Cross,465,623,.387,-5.71,.690,1250
,438,16,2617,426,219,860,-15.84,605,471,.418,89,.323,206,Houston Baptist,120,1,2058,31,443,2382,1219,Houston Baptist,710,677,.194,-3.66,.624,1250
,401,5,2142,492,285,910,16.39,693,391,.466,103,.387,212,Houston,121,6,1953,33,450,2555,1271,Houston NCAA,628,737,.788,3.87,.717,1320
,442,18,2654,406,268,847,-17.03,676,369,.424,93,.347,178,Howard,122,2,1997,33,487,2449,1154,Howard,688,772,.303,-9.51,.708,1345
,408,10,2232,354,252,778,-5.48,525,202,.475,72,.396,169,Idaho St.,123,5,1639,30,403,2211,962,Idaho State,594,637,.467,-3.41,.678,1200
,411,4,2134,459,277,819,1.11,553,307,.469,80,.409,134,Idaho,124,9,1748,31,415,2330,1138,Idaho,565,678,.710,-3.65,.735,1245
,484,7,2328,407,211,843,-4.20,609,335,.450,224,.344,218,Ill.-Chicago,125,7,1874,32,506,2403,1230,Illinois-Chicago,695,613,.531,-4.46,.728,1285
,438,10,2418,468,301,813,1.05,677,315,.424,131,.340,216,Illinois St.,126,3,1917,33,437,2364,1171,Illinois State,640,884,.545,3.65,.683,1350
,425,10,2362,442,236,856,8.78,720,398,.439,69,.335,240,Illinois,127,1,1949,32,478,2426,1053,Illinois,653,705,.438,7.82,.732,1295
,442,12,2163,311,166,671,-17.39,521,279,.428,143,.337,170,Incarnate Word,128,1,1566,28,470,1978,976,Incarnate Word,631,493,.250,-4.73,.745,1120
,445,7,2253,360,270,762,1.44,614,321,.423,105,.361,233,Indiana St.,129,5,1803,31,454,2248,1124,Indiana State,644,748,.419,2.33,.705,1275
,386,8,2178,435,194,806,10.20,561,345,.456,134,.322,198,Indiana,130,3,1767,31,423,2229,1099,Indiana,644,602,.516,8.55,.657,1255
,385,8,2513,526,319,931,0.95,571,282,.462,101,.388,224,Iona,131,7,2016,33,452,2635,1117,Iona NCAA,612,822,.606,-2.74,.739,1345
,369,10,2339,423,234,817,7.28,508,338,.437,129,.358,149,Iowa St.,132,0,1870,31,390,2258,1134,Iowa State,557,653,.419,9.90,.700,1250
,441,10,2597,602,252,946,8.35,548,391,.479,133,.375,172,Iowa,133,1,1975,33,486,2630,1258,Iowa,699,672,.424,7.35,.695,1330
,391,10,2535,486,339,953,-1.24,539,315,.459,110,.366,264,Fort Wayne,134,4,2074,33,471,2716,1155,IPFW,653,927,.545,-3.00,.721,1325
,427,14,2180,385,213,731,-9.80,562,347,.424,103,.355,205,IUPUI,135,2,1723,30,372,2047,1022,IUPUI,559,600,.367,-3.51,.665,1205
,368,17,2161,351,238,714,-17.51,651,401,.371,89,.329,235,Jackson St.,136,2,1922,32,325,1991,1087,Jackson State,497,724,.375,-10.34,.654,1295
,424,7,2142,510,191,879,-0.05,575,374,.460,167,.327,198,Jacksonville St.,137,7,1910,33,410,2359,1257,Jacksonville State,591,584,.636,-5.02,.694,1325
,472,12,2482,415,202,897,-13.25,536,330,.450,112,.336,226,Jacksonville,138,3,1993,33,409,2405,1180,Jacksonville,621,601,.455,-5.98,.659,1345
,383,11,2414,388,231,812,-5.45,670,361,.420,104,.332,228,James Madison,139,3,1932,32,486,2341,1147,James Madison,667,695,.313,-2.13,.729,1310
,379,5,2240,473,229,854,13.44,607,269,.472,99,.344,256,Kansas St.,140,6,1809,33,451,2388,1010,Kansas State NCAA,608,665,.667,8.95,.742,1325
,397,3,2412,578,345,1024,22.01,519,325,.498,142,.403,225,Kansas,141,8,2058,34,378,2771,1197,Kansas NCAA,539,857,.794,11.45,.701,1360
,407,14,2328,442,160,805,-11.02,539,306,.455,94,.365,214,Kennesaw St.,142,2,1768,30,412,2182,986,Kennesaw State,597,438,.333,-4.17,.690,1205
,442,11,2502,393,255,871,-3.58,638,390,.426,122,.326,201,Kent St.,143,2,2046,34,485,2482,1221,Kent State,666,782,.500,-1.61,.728,1370
,442,6,2390,455,185,920,17.59,642,411,.470,166,.361,191,Kentucky,144,4,1958,34,584,2609,1315,Kentucky NCAA,838,513,.706,11.15,.697,1365
,374,10,2360,410,234,817,1.88,546,292,.429,90,.329,189,La Salle,145,2,1906,32,465,2333,1124,La Salle,591,711,.406,2.72,.787,1315
,411,14,2307,386,263,777,-9.70,515,210,.455,103,.371,131,Lafayette,146,2,1709,31,390,2207,1026,Lafayette,507,708,.323,-5.97,.769,1245
,420,6,2220,442,249,847,-4.81,628,414,.432,75,.343,280,Lamar University,147,8,1959,32,488,2431,1204,Lamar,739,725,.594,-7.17,.660,1300
,380,8,2333,428,293,835,-6.19,553,269,.453,53,.406,184,Lehigh,148,7,1845,30,373,2336,1074,Lehigh,480,721,.533,-5.43,.777,1230
,418,6,2215,487,284,847,-2.62,588,253,.463,87,.375,209,Liberty,149,7,1831,35,508,2486,1171,Liberty,642,758,.600,-6.49,.791,1430
,480,7,2480,503,260,901,-2.02,638,340,.456,100,.331,207,Lipscomb,150,10,1976,32,580,2642,1247,Lipscomb NCAA,811,785,.719,-4.40,.715,1300
,501,10,2586,419,196,866,-3.32,592,382,.452,119,.351,218,Long Beach St.,151,6,1917,33,557,2485,1195,Long Beach State,765,558,.455,1.33,.728,1330
,481,11,2603,429,272,916,-8.10,668,363,.457,111,.345,191,LIU Brooklyn,152,5,2005,34,531,2635,1295,Long Island University NCAA,763,789,.529,-7.98,.696,1365
,516,13,2445,327,226,728,-18.27,575,263,.413,102,.327,218,Longwood,153,2,1764,33,406,2088,1070,Longwood,591,691,.212,-4.27,.687,1320
,439,3,2324,582,290,944,8.00,621,414,.468,143,.367,250,Louisiana,154,10,2019,33,575,2753,1285,Louisiana,756,790,.818,-2.71,.761,1325
,363,10,2107,436,282,786,-5.57,514,289,.434,40,.363,200,La.-Monroe,155,3,1809,31,315,2169,1047,Louisiana-Monroe,439,776,.516,-2.99,.718,1250
,357,7,2292,442,256,861,11.91,551,303,.475,100,.353,238,LSU,156,3,1812,31,426,2404,1040,Louisiana State,582,726,.548,8.30,.732,1245
,405,10,2331,470,287,838,1.03,569,314,.446,131,.375,196,Louisiana Tech,157,2,1877,33,505,2468,1137,Louisiana Tech,697,765,.515,-0.42,.725,1325
,392,7,2328,451,256,897,15.13,543,333,.456,201,.371,231,Louisville,158,4,1967,33,465,2515,1215,Louisville,631,690,.606,9.46,.737,1340
,404,4,2054,519,246,869,9.37,456,209,.507,82,.398,219,Loyola Chicago,159,9,1714,33,406,2390,1067,Loyola (IL) NCAA,561,618,.848,-0.29,.724,1320
,407,12,2369,441,199,803,-3.86,607,377,.442,72,.347,216,Loyola Marymount,160,3,1815,31,421,2226,1016,Loyola Marymount,593,573,.355,1.60,.710,1250
,414,16,2326,360,163,797,-12.66,614,332,.438,97,.320,218,Loyola Maryland,161,1,1820,31,397,2154,1076,Loyola (MD),608,509,.290,-5.19,.653,1255
,496,16,2408,375,225,765,-14.55,624,304,.409,93,.303,205,Maine,162,2,1871,32,385,2140,1129,Maine,560,743,.188,-3.19,.688,1295
,482,8,2175,433,239,737,-4.80,616,319,.444,121,.400,186,Manhattan,163,5,1661,31,434,2147,1030,Manhattan,625,598,.452,-3.90,.694,1260
,488,10,2515,369,280,761,-12.20,547,233,.445,77,.349,130,Marist,164,2,1710,31,437,2239,1041,Marist,612,802,.194,-3.30,.714,1260
,386,5,2511,504,354,906,12.64,610,287,.474,116,.415,197,Marquette,165,5,1913,32,432,2598,1029,Marquette,543,853,.594,9.92,.796,1295
,449,8,2680,585,341,992,3.61,586,274,.469,198,.354,233,Marshall,166,6,2115,34,540,2865,1232,Marshall NCAA,704,964,.706,-0.91,.767,1375
,411,7,2362,525,346,886,-3.52,562,338,.445,85,.387,256,UMBC,167,9,1993,34,395,2513,1184,Maryland-Baltimore County NCAA,609,894,.706,-5.04,.649,1360
,417,18,2473,347,206,710,-24.40,548,347,.385,57,.284,151,UMES,168,0,1844,32,366,1992,1065,Maryland-Eastern Shore,542,725,.219,-7.34,.675,1280
,438,8,2140,452,229,811,13.91,511,305,.478,137,.371,138,Maryland,169,2,1696,32,487,2338,1149,Maryland,645,617,.594,8.07,.755,1285
,405,11,2356,435,215,791,-9.50,538,282,.460,86,.346,209,UMass Lowell,170,3,1719,30,489,2286,970,Massachusetts-Lowell,690,621,.400,-5.74,.709,1205
,422,11,2465,505,293,861,-1.43,595,300,.449,98,.400,159,Massachusetts,171,1,1918,33,359,2374,1081,Massachusetts,481,732,.394,1.33,.746,1350
,416,12,2209,327,205,780,-11.82,505,339,.436,133,.343,156,McNeese,172,5,1787,29,419,2184,1144,McNeese State,590,597,.414,-5.86,.710,1170
,467,5,2420,442,201,828,2.19,583,391,.452,128,.317,202,Memphis,173,5,1832,34,551,2408,1165,Memphis,798,634,.618,2.54,.690,1380
,397,8,2204,470,273,827,-0.06,539,308,.476,53,.387,176,Mercer,174,6,1736,32,489,2416,1107,Mercer,647,705,.563,-3.66,.756,1300
,351,4,2109,413,243,850,13.27,505,309,.464,123,.363,203,Miami (FL),175,8,1832,31,354,2299,1080,Miami (FL) NCAA,534,669,.710,7.14,.663,1250
,442,10,2307,440,288,853,-3.01,555,330,.438,86,.338,252,Miami (OH),176,6,1947,33,368,2362,1209,Miami (OH),539,852,.485,-0.85,.683,1350
,435,1,2138,638,277,943,23.46,596,365,.504,243,.413,135,Michigan St.,177,8,1872,33,509,2672,1348,Michigan State NCAA,678,671,.879,7.28,.751,1325
,320,5,2224,518,320,943,18.90,545,300,.471,111,.369,219,Michigan,178,6,2003,35,400,2606,1167,Michigan NCAA,607,868,.800,8.78,.659,1415
,385,1,2040,437,226,838,9.79,613,333,.465,69,.369,194,Middle Tenn.,179,12,1803,31,418,2320,1121,Middle Tennessee,563,612,.774,2.19,.742,1250
